poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file
exploit-worker_40061453.js,9.7.84,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-9.7.84.log
exploit-worker_40061453.js,9.8.123,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-9.8.123.log
exploit-worker_40061453.js,9.9.47,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-9.9.47.log
exploit-worker_40061453.js,10.0.53,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.0.53.log
exploit-worker_40061453.js,10.1.42,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.1.42.log
exploit-worker_40061453.js,10.2.51,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.2.51.log
exploit-worker_40061453.js,10.3.91,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.3.91.log
exploit-worker_40061453.js,10.4.101,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.4.101.log
exploit-worker_40061453.js,10.5.111,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.5.111.log
exploit-worker_40061453.js,10.6.68,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.6.68.log
exploit-worker_40061453.js,10.7.81,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.7.81.log
exploit-worker_40061453.js,10.8.92,2022-10-24,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/exploit-worker_40061453.js-10.8.92.log
exploit_365376497.js,11.9.168,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-11.9.168.log
exploit_365376497.js,12.1.22,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.1.22.log
exploit_365376497.js,12.1.271,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.1.271.log
exploit_365376497.js,12.2.156,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.2.156.log
exploit_365376497.js,12.3.91,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.3.91.log
exploit_365376497.js,12.4.126,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.4.126.log
exploit_365376497.js,12.5.129,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.5.129.log
exploit_365376497.js,12.6.144,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.6.144.log
exploit_365376497.js,12.7.173,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.7.173.log
exploit_365376497.js,12.8.168,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-12.8.168.log
exploit_365376497.js,12.9.73.1,2024-09-08,--wasm-staging,TRUE,reproduce_logs/exploit_365376497.js-12.9.73.1.log
exploit_365376497.js,13.0.136,2024-09-08,--wasm-staging,FALSE,reproduce_logs/exploit_365376497.js-13.0.136.log
exploit_40065473.js,10.5.111,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-10.5.111.log
exploit_40065473.js,10.6.68,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-10.6.68.log
exploit_40065473.js,10.7.81,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-10.7.81.log
exploit_40065473.js,10.8.92,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-10.8.92.log
exploit_40065473.js,10.9.129,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-10.9.129.log
exploit_40065473.js,11.0.140,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.0.140.log
exploit_40065473.js,11.1.92,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.1.92.log
exploit_40065473.js,11.2.31,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.2.31.log
exploit_40065473.js,11.3.43,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.3.43.log
exploit_40065473.js,11.4.45,2023-06-07,--allow-natives-syntax,TRUE,reproduce_logs/exploit_40065473.js-11.4.45.log
exploit_40065473.js,11.5.10,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.5.10.log
exploit_40065473.js,11.6.41,2023-06-07,--allow-natives-syntax,FALSE,reproduce_logs/exploit_40065473.js-11.6.41.log
exploit_40067530.js,10.6.68,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-10.6.68.log
exploit_40067530.js,10.7.81,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-10.7.81.log
exploit_40067530.js,10.8.92,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-10.8.92.log
exploit_40067530.js,10.9.129,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-10.9.129.log
exploit_40067530.js,11.0.140,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.0.140.log
exploit_40067530.js,11.1.92,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.1.92.log
exploit_40067530.js,11.2.31,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.2.31.log
exploit_40067530.js,11.3.43,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.3.43.log
exploit_40067530.js,11.4.45,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.4.45.log
exploit_40067530.js,11.5.10,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.5.10.log
exploit_40067530.js,11.6.41,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.6.41.log
exploit_40067530.js,11.7.68,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-11.7.68.log
exploit_40095575.js,7.0.112,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.0.112.log
exploit_40095575.js,7.1.3,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.1.3.log
exploit_40095575.js,7.1.218,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.1.218.log
exploit_40095575.js,7.2.211,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.2.211.log
exploit_40095575.js,7.3.258,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.3.258.log
exploit_40095575.js,7.4.46,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.4.46.log
exploit_40095575.js,7.4.256,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.4.256.log
exploit_40095575.js,7.5.149,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.5.149.log
exploit_40095575.js,7.6.75,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.6.75.log
exploit_40095575.js,7.6.296.1,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.6.296.1.log
exploit_40095575.js,7.7.166,2019-07-02,--experimental-wasm-anyref,FALSE,reproduce_logs/exploit_40095575.js-7.7.166.log
expl_330575498.js,11.4.45,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.4.45.log
expl_330575498.js,11.5.10,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.5.10.log
expl_330575498.js,11.6.41,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.6.41.log
expl_330575498.js,11.7.68,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.7.68.log
expl_330575498.js,11.7.359.1,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.7.359.1.log
expl_330575498.js,11.8.149,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.8.149.log
expl_330575498.js,11.9.168,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-11.9.168.log
expl_330575498.js,12.1.22,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-12.1.22.log
expl_330575498.js,12.1.271,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-12.1.271.log
expl_330575498.js,12.2.156,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-12.2.156.log
expl_330575498.js,12.3.91,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-12.3.91.log
expl_330575498.js,12.4.126,2024-03-21,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_330575498.js-12.4.126.log
expl_344963941.js,11.7.68,2024-06-05,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_344963941.js-11.7.68.log
expl_344963941.js,11.7.359.1,2024-06-05,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_344963941.js-11.7.359.1.log
expl_344963941.js,11.8.149,2024-06-05,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_344963941.js-11.8.149.log
expl_344963941.js,11.9.168,2024-06-05,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_344963941.js-11.9.168.log
expl_344963941.js,12.1.22,2024-06-05,--allow-natives-syntax --expose-gc,FALSE,reproduce_logs/expl_344963941.js-12.1.22.log
