poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file
poc_40051991.js,7.9.162.1,2020-04-11,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40051991.js-7.9.162.1.log
poc_40052054.js,8.3.110,2020-04-18,--allow-natives-syntax --debug-code --expose-gc --single-threaded --predictable --interrupt-budget=1024,TRUE,reproduce_logs/poc_40052054.js-8.3.110.log
poc_40055446.js,8.4.261,2021-04-04,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40055446.js-8.4.261.log
poc_40055451.js,8.4.261,2021-04-05,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40055451.js-8.4.261.log
poc_40055688.js,9.0.102,2021-04-27,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40055688.js-9.0.102.log
poc_40056860.js,8.7.37,2021-08-12,--experimental-wasm-threads,TRUE,reproduce_logs/poc_40056860.js-8.7.37.log
poc_40057710.js,8.8.214,2021-10-26,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40057710.js-8.8.214.log
poc_40058995.js,10.1.42,2022-03-07,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40058995.js-10.1.42.log
poc_40059133.js,9.1.230,2022-03-18, --expose-gc --allow-natives-syntax,TRUE,reproduce_logs/poc_40059133.js-9.1.230.log
poc_40059369.js,9.2.131,2022-04-13,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40059369.js-9.2.131.log
poc_40059498.js,10.1.42,2022-04-27,--single-threaded --allow-natives-syntax --expose-gc --nouse-map-space,TRUE,reproduce_logs/poc_40059498.js-10.1.42.log
poc_40059979.js,9.3.262,2022-06-16, --allow-natives-syntax,TRUE,reproduce_logs/poc_40059979.js-9.3.262.log
poc_40060077.js,10.3.91,2022-06-26,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40060077.js-10.3.91.log
poc_40060419.js,9.4.87,2022-07-27,--harmony-rab-gsab,TRUE,reproduce_logs/poc_40060419.js-9.4.87.log
poc_40060736.js,10.3.91,2022-08-31, --allow-natives-syntax --harmony ,TRUE,reproduce_logs/poc_40060736.js-10.3.91.log
poc_40060819.js,10.1.42,2022-09-05,--maglev --allow-natives-syntax --verify-heap --no-use-ic --trace-opt,TRUE,reproduce_logs/poc_40060819.js-10.1.42.log
poc_40061150.js,10.1.42,2022-09-26,--allow-natives-syntax --maglev,TRUE,reproduce_logs/poc_40061150.js-10.1.42.log
poc_40061447.js,10.4.101,2022-10-24,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40061447.js-10.4.101.log
poc_40061451.js,9.7.84,2022-10-24,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40061451.js-9.7.84.log
poc_40061456a.js,10.6.68,2022-10-24,--allow-natives-syntax --harmony-rab-gsab,TRUE,reproduce_logs/poc_40061456a.js-10.6.68.log
poc_40061456b.js,10.6.68,2022-10-24,--allow-natives-syntax --harmony-rab-gsab,TRUE,reproduce_logs/poc_40061456b.js-10.6.68.log
poc_40061500.js,9.7.84,2022-10-27,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40061500.js-9.7.84.log
exploit_365376497.js,12.9.73.1,2024-09-08,--wasm-staging,TRUE,reproduce_logs/exploit_365376497.js-12.9.73.1.log
exploit_40065473.js,11.4.45,2023-06-07,--allow-natives-syntax,TRUE,reproduce_logs/exploit_40065473.js-11.4.45.log
exploit_40067530.js,10.6.68,2023-07-17,--maglev,TRUE,reproduce_logs/exploit_40067530.js-10.6.68.log
exp_40055688.js,9.0.102,2021-04-27,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/exp_40055688.js-9.0.102.log
exp_40067050.js,11.0.140,2023-07-07,--experimental-wasm-gc,TRUE,reproduce_logs/exp_40067050.js-11.0.140.log
exp_40067712.js,11.3.43,2023-07-19,--experimental-wasm-gc,TRUE,reproduce_logs/exp_40067712.js-11.3.43.log
ex_41483297.js,11.6.41,2023-12-12,--harmony-set-methods,TRUE,reproduce_logs/ex_41483297.js-11.6.41.log
google_v8_array_prototype_memory_corruption_poc_40094304.js,6.7.213,2019-03-15,--allow-natives-syntax --noturbo-inlining --noconcurrent-recompilation --trace-turbo-graph --noopt,TRUE,reproduce_logs/google_v8_array_prototype_memory_corruption_poc_40094304.js-6.7.213.log
leak_40094340.js,7.4.256,2019-03-20,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/leak_40094340.js-7.4.256.log
mini_poc_40948927.js,11.4.45,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/mini_poc_40948927.js-11.4.45.log
oob_poc_40948927.js,11.1.92,2023-12-05,--turboshaft-wasm,TRUE,reproduce_logs/oob_poc_40948927.js-11.1.92.log
expl_330575498.js,11.9.168,2024-03-21,--module --allow-natives-syntax --expose-gc,TRUE,reproduce_logs/expl_330575498.js-11.9.168.log
min_340221135.js,11.6.41,2024-05-13,--module --allow-natives-syntax --expose-gc,TRUE,reproduce_logs/min_340221135.js-11.6.41.log
poc_40061773.js,9.8.123,2022-11-16,--allow-natives-syntax --harmony_temporal,TRUE,reproduce_logs/poc_40061773.js-9.8.123.log
poc_40061849.js,10.1.42,2022-11-21,--allow-natives-syntax --maglev,TRUE,reproduce_logs/poc_40061849.js-10.1.42.log
poc_40061863.js,10.6.68,2022-11-22,--harmony-rab-gsab,TRUE,reproduce_logs/poc_40061863.js-10.6.68.log
poc_40061900.js,9.9.47,2022-11-24,--harmony-rab-gsab,TRUE,reproduce_logs/poc_40061900.js-9.9.47.log
poc_40061946.js,10.1.42,2022-11-29, --allow-natives-syntax --maglev --single-threaded,TRUE,reproduce_logs/poc_40061946.js-10.1.42.log
poc_40062102.js,11.0.140,2022-12-07,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40062102.js-11.0.140.log
poc_40062163.js,10.6.68,2022-12-10,--harmony-struct,TRUE,reproduce_logs/poc_40062163.js-10.6.68.log
poc_40062432.js,10.7.81,2022-12-29,--future --harmony,TRUE,reproduce_logs/poc_40062432.js-10.7.81.log
poc_40062671.js,10.3.91,2023-01-15,--expose-gc --future --harmony --assert-types --maglev-assert --turboshaft-assert-types --harmony-rab-gsab --harmony-struct --allow-natives-syntax --interrupt-budget=1000 --fuzzing --maglev --maglev-inlining --turbo-compress-translation-arrays --turboshaft --verify-heap --flush-baseline-code,TRUE,reproduce_logs/poc_40062671.js-10.3.91.log
poc_40062684.js,11.0.140,2023-01-16,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40062684.js-11.0.140.log
poc_40062854.js,11.2.31,2023-02-01,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40062854.js-11.2.31.log
poc_40062884.js,10.8.92,2023-02-02,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40062884.js-10.8.92.log
poc_40062890.js,10.3.91,2023-02-03,--allow-natives-syntax --turboshaft,TRUE,reproduce_logs/poc_40062890.js-10.3.91.log
poc_40063140.js,11.2.31,2023-02-18,--expose-gc --future --harmony --assert-types --enable-slow-asserts --maglev-assert --harmony-rab-gsab --harmony-struct --allow-natives-syntax --interrupt-budget=1000 --maglev --fuzzing --no-sparkplug --opt --lazy --allow-natives-syntax --always-osr --no-always-turbofan --no-force-slow-path --turbo-move-optimization --turbo-jt --turbo-loop-peeling --turbo-loop-variable --turbo-loop-rotation --turbo-cf-optimization --turbo-escape --turbo-allocation-folding --turbo-instruction-scheduling --turbo-stress-instruction-scheduling --no-turbo-store-elimination --turbo-rewrite-far-jumps --turbo-optimize-apply --no-enable-sse3 --turbo-load-elimination --turbo-inlining --turbo-splitting --lazy-feedback-allocation --allow-natives-syntax --allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40063140.js-11.2.31.log
poc_40063286.js,11.2.31,2023-02-28,--future --assert-types --enable-slow-asserts --maglev-assert --sparkplug --no-opt --lazy,TRUE,reproduce_logs/poc_40063286.js-11.2.31.log
poc_40063372.js,11.2.31,2023-03-04,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40063372.js-11.2.31.log
poc_40063393.js,10.3.91,2023-03-06,--turboshaft,TRUE,reproduce_logs/poc_40063393.js-10.3.91.log
poc_40063397.js,10.3.91,2023-03-06,--turboshaft,TRUE,reproduce_logs/poc_40063397.js-10.3.91.log
poc_40063399.js,10.3.91,2023-03-06,--interrupt-budget=128 --turboshaft,TRUE,reproduce_logs/poc_40063399.js-10.3.91.log
poc_40063597.js,11.3.43,2023-03-14, --no-analyze-environment-liveness --allow-natives-syntax,TRUE,reproduce_logs/poc_40063597.js-11.3.43.log
poc_40063616.js,11.3.43,2023-03-16,--expose-gc --future --harmony --assert-types --maglev-assert --harmony-rab-gsab --harmony-struct --allow-natives-syntax --interrupt-budget=1000 --fuzzing --sparkplug --no-opt --lazy --allow-natives-syntax --no-always-osr --no-always-turbofan --no-force-slow-path --turbo-move-optimization --turbo-jt --no-turbo-loop-peeling --turbo-loop-variable --turbo-loop-rotation --turbo-cf-optimization --turbo-escape --turbo-allocation-folding --turbo-instruction-scheduling --turbo-stress-instruction-scheduling --no-turbo-store-elimination --turbo-rewrite-far-jumps --turbo-optimize-apply --no-enable-ssse3 --turbo-load-elimination --turbo-inlining --turbo-splitting --lazy-feedback-allocation --turbo-filter=match --allow-natives-syntax --shared-string-table,TRUE,reproduce_logs/poc_40063616.js-11.3.43.log
poc_40063673.js,11.3.43,2023-03-20,--harmony-struct,TRUE,reproduce_logs/poc_40063673.js-11.3.43.log
poc_40063757.js,10.3.91,2023-03-25,--expose-async-hooks --expose-gc ,TRUE,reproduce_logs/poc_40063757.js-10.3.91.log
poc_40063989.js,10.3.91,2023-04-11,--allow-natives-syntax,TRUE,reproduce_logs/poc_40063989.js-10.3.91.log
poc_40061653.js,10.8.92,2022-11-08,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40061653.js-10.8.92.log
poc_40061748.js,10.1.42,2022-11-15,--harmony-rab-gsab --allow-natives-syntax,TRUE,reproduce_logs/poc_40061748.js-10.1.42.log
poc_40064124.js,10.7.81,2023-04-20,--expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony --minor-mc --shared-string-table --expose-externalize-string --single-threaded,TRUE,reproduce_logs/poc_40064124.js-10.7.81.log
poc_40064748.js,11.3.43,2023-05-23,--expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony --harmony-struct --shared-string-table --no-turbofan --expose-externalize-string --thread-pool-size=3,TRUE,reproduce_logs/poc_40064748.js-11.3.43.log
poc_40064946.js,11.2.31,2023-05-29,--verify-heap --jit-fuzzing --harmony-struct,TRUE,reproduce_logs/poc_40064946.js-11.2.31.log
poc_40064983.js,10.9.129,2023-05-29,--future --allow-natives-syntax,TRUE,reproduce_logs/poc_40064983.js-10.9.129.log
poc_40065138.js,10.5.111,2023-06-01,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40065138.js-10.5.111.log
poc_40065463.js,11.4.45,2023-06-07,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40065463.js-11.4.45.log
poc_40066778.js,11.3.43,2023-07-03,--experimental-wasm-gc,TRUE,reproduce_logs/poc_40066778.js-11.3.43.log
poc_40067050.js,11.3.43,2023-07-07,--experimental-wasm-gc,TRUE,reproduce_logs/poc_40067050.js-11.3.43.log
poc_40067485.js,11.3.43,2023-07-15,--expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --turboshaft --harmony,TRUE,reproduce_logs/poc_40067485.js-11.3.43.log
poc_40068915.js,10.7.81,2023-08-07,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40068915.js-10.7.81.log
poc_40069079.js,11.7.359.1,2023-08-09,--future --assert-types --turboshaft-assert-types,TRUE,reproduce_logs/poc_40069079.js-11.7.359.1.log
poc_40069222.js,11.7.359.1,2023-08-10,--jit-fuzzing --future --turboshaft-future,TRUE,reproduce_logs/poc_40069222.js-11.7.359.1.log
poc_40069328.js,11.7.359.1,2023-08-10,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40069328.js-11.7.359.1.log
poc_40069589.js,11.7.359.1,2023-08-15, --jit-fuzzing --future --turboshaft-future ,TRUE,reproduce_logs/poc_40069589.js-11.7.359.1.log
poc_40069590.js,11.7.359.1,2023-08-15,--expose-gc --future --always-turbofan --turboshaft-future,TRUE,reproduce_logs/poc_40069590.js-11.7.359.1.log
poc_40069798.js,11.6.41,2023-08-17, --harmony --harmony-set-methods,TRUE,reproduce_logs/poc_40069798.js-11.6.41.log
poc_40073390.js,11.6.41,2023-09-26,--fuzzing --jit-fuzzing --future --turboshaft-assert-types --no-maglev,TRUE,reproduce_logs/poc_40073390.js-11.6.41.log
poc_40075744.js,11.9.168,2023-10-27,--allow-natives-syntax --expose-gc --maglev-inline-api-calls,TRUE,reproduce_logs/poc_40075744.js-11.9.168.log
poc_403211343.js,12.7.173,2025-03-13,--expose-gc --omit-quit --allow-natives-syntax --no-turboshaft-loop-unrolling --turboshaft-loop-peeling,TRUE,reproduce_logs/poc_403211343.js-12.7.173.log
poc_403600260.js,13.3.410,2025-03-14,--sandbox-testing --single-threaded --sandbox-testing --single-threaded --sandbox-testing --single-threaded,TRUE,reproduce_logs/poc_403600260.js-13.3.410.log
poc_40838427.js,9.5.99,2022-05-06,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40838427.js-9.5.99.log
poc_40941600.js,11.0.140,2023-11-10,--allow-natives-syntax --expose-gc,TRUE,reproduce_logs/poc_40941600.js-11.0.140.log
poc_40948441.js,12.1.22,2023-12-04,--experimental-wasm-exnref ,TRUE,reproduce_logs/poc_40948441.js-12.1.22.log
