filename,year,version,flags, rep
10_40062875.js,2023,10.9.0,--interrupt-budget=1000 --harmony-struct --maglev --stress-maglev --turboshaft, no
12_40057081.js,9.2.230,2021, --allow-natives-syntax  --expose-gc    --predictable --sparkplug,yes 
1406162_40062572.js,10.9.1,2023,--allow-natives-syntax --maglev --maglev-inlining --stress-maglev,yes
1_40064282.js,11.5.150.6, 2023, no
279d2a53-0d4b-407a-b2bf-ee456a849c8e_40061400.js,wont-fix, 2022,
5_report_40062572.js, 10.9.1, 2023,--allow-natives-syntax --maglev --maglev-inlining --stress-maglev,yes
chrome_40059133.js,9.9.115, 2022,
clusterfuzz-testcase-5686835111657472_40095393.js,7.5,2019,--promiseTestCount --promiseTestCount --always-opt --no-opt,no
clusterfuzz-testcase-minimized-4902454101344256_40058638.js,9.9,2022,no
clusterfuzz-testcase-minimized-5686835111657472_40095393.js,7.5,2019,no
crosher_40089045.js,5.9, 2017,--route --no-log --interface, no
demo1_40057946.js,9.6,2021,no
demo2_40057946.js,9.6,2021,no
deoptimizer.cc_L359_DCHECK_fail_339759428.js,12.4,2024,--profile=v8 --jobs=24 --engine=multi --logLevel=verbose --timeout=1200 --storagePath --resume --exportStatistics --statisticsExportInterval=5 --diagnostics --tag=3ea85f9c --expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony --js-staging
exploit-worker_40061453.js,10.7,2022, 
exploit_365376497.js,12.8, 2024,--wasm-staging
exploit_40065473.js,11.4.183.19,2023,--allow-natives-syntax
exploit_40067530.js,11.5.150.16,2023,--maglev
exploit_40095575.js, 7.7.0,2019,--experimental-wasm-anyref
expl_330575498.js,12.4,2024,
expl_344963941.js,12.5.227.13,2024,
exp_323694592.js,14.x,2024,
exp_40055688.js,9.0.257.23,2021,
exp_40067050.js,11.4.183,2023,--experimental-wasm-gc
exp_40067712.js,11.2.0,2023, --experimental-wasm-gc
ex_41483297.js,	12.0.230.24,2023,--harmony-set-methods
fail_40090935.js,debug-6.7,2018,--enable-slow-asserts --expose-gc --allow-natives-syntax test/mjsunit/mjsunit.js test/mjsunit/wasm/wasm-constants.js test/mjsunit/wasm/wasm-module-builder.js fail.js
google_v8_array_prototype_memory_corruption_poc_40094304.js,2019,
helper1_342602616.js,7.3.492.17,2024,--disable-in-process-stack-traces --trace-opt-verbose  --allow-natives-syntax  --trace-gc
helper2_342602616.js,7.3.492.17,2024,
help_40061335.js,10.9,2022,--expose-gc --allow-natives-syntax  --no-sandbox
leak_40094340.js, 7.0-7.2,2019,
lib_40050529.js, 7.7.299.13,2019,--allow-natives-syntax
liveBuildCrash_40094379.js,7.1-7.2, 2019,--allow-natives-syntax
liveCrash_40094467.js,7.1-7.2,2019,-allow-natives-syntax 
mini_poc_40948927.js,12.1.0,2023,--turboshaft-wasm
min_340221135.js,12.4,2024,--module
oob-regexp_40087250.js,5.2-5.5,2017,
oob_poc_40948927.js,12.1.0, 2023,--turboshaft-wasm
osr-deoptdata-confusion_395659804.js,13.3,2025,--sandbox-testing
poc-full_325893559.js,(debug)12.3.0, 2024,--wasm-wrapper-tiering-budget=1
poc-new_40067712.js,11.2.0, 2023,--experimental-wasm-gc
poc-old_40067712.js,2023,
poc1_40068612.js,11.7.0,2023,--jit-fuzzing --stress-gc-during-compilation --lazy-new-space-shrinking --maglev
poc1_40093739.js,7.1-7.3,2019,
poc1_40948441.js,12.1.0,2023,--experimental-wasm-exnref
poc1_40948479.js,12.1.0,2023,--turboshaft-wasm
poc1_40948927.js, 12.1.0,2023,--turboshaft-wasm
poc1_41493286.js,12.2.0,2024, --future --turboshaft-wasm-instruction-selection-staged --allow-natives-syntax 
poc2_40093739.js,2019,
poc2_40948479.js,2023,
poc2_40948927.js,2023,
poc3_40948479.js,2023,
poc3_40948927.js,2023,
poc4_40948927.js,2023,
poc_325893559.js,2024,--wasm-wrapper-tiering-budget=1
poc_331241020.js,2024,
poc_332081797.js,2024,
poc_345960102.js,2024,
poc_347724915.js,2024,--expose-gc --omit-quit --future --harmony --assert-types --harmony-struct --allow-natives-syntax --interrupt-budget=1000 --fuzzing
poc_349864879.js,2024,--expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony --js-staging
poc_351865302.js,2024,--v0
poc_352352903.js,2024,--jit-fuzzing
poc_352371710.js,2024,
poc_353628445.js,2024,--expose-gc --allow-natives-syntax --jit-fuzzing
poc_356196918.js,2024,--allow-natives-syntax
poc_359729268.js,2024,--allow-natives-syntax --fuzzing --always-turbofan
poc_362539773.js,2024,--allow-natives-syntax --jit-fuzzing
poc_365376497.js,2024,--experimental-wasm-jspi
poc_366381662.js,2024,--allow-natives-syntax
poc_369630648.js,2024,
poc_372932101.js,2024,--expose-gc --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony
poc_373928206.js,2024,--allow-natives-syntax --fuzzing --optimize-on-next-call-optimizes-to-maglev --max-lazy
poc_374811614.js,2024,--expose-gc --allow-natives-syntax --jit-fuzzing --optimize-on-next-call-optimizes-to-maglev
poc_375314963.js,2024,
poc_376818204.js,2024,
poc_380474992.js,2024,--disable-in-process-stack-traces
poc_380487911.js,2024,
poc_380604249.js,2024,
poc_381390367.js,2024,
poc_381696874.js,2024,
poc_382190919.js,2024,--i40 --allow-natives-syntax
poc_383647255.js,2024,--expose-gc
poc_384186547.js,2024,
poc_385155406.js,2024,--resume --jobs=56 --profile=v8 --instanceType=root --storagePath --bindTo=172 --expose-gc --expose-externalize-string --omit-quit --allow-natives-syntax --fuzzing --jit-fuzzing --future --harmony --js-staging --wasm-staging
poc_385386138.js,2024,
poc_385775375.js,2024,
poc_386143468.js,2024,--allow-natives-syntax --no-concurrent-recompilation
poc_386487312.js,2024,
poc_386565139.js,2024,--sandbox-testing --allow-natives-syntax
poc_386565144.js,2024,--allow-natives-syntax --script-context-mutable-heap-int32
poc_390743124.js,2025,--allow-natives-syntax --allow-natives-syntax
poc_392521083.js,2025,--stress-incremental-marking --expose-gc --allow-natives-syntax --single-threaded --stress-incremental-marking
poc_393989622.js,2025,--single-threaded --sandbox-fuzzing --allow-natives-syntax --expose-gc
poc_397720949.js,2025,--js-float16array
poc_397731718.js,2025,
poc_398431403.js,2025,--allow-natives-syntax --jit-fuzzing
poc_398999390.js,2025,
poc_400052777.js,2025,--allow-natives-syntax
poc_40051480.js,2020,
poc_40051527.js,2020,
poc_40051991.js,2020,
poc_40052054.js,2020,
poc_40052820.js,2020,
poc_40053323.js,2020,
poc_40053739.js,2020,--allow-natives-syntax
poc_40054578.js,2021,
poc_40054989.js,2021,--allow-natives-syntax --expose-gc ------------------- ------------------ ------------------- ------------------ --allow-natives-syntax --expose-gc
poc_40055446.js,2021,
poc_40055451.js,2021,
poc_40055540.js,2021,
poc_40055688.js,2021,
poc_40055882.js,2021,
poc_40056355.js,2021,
poc_40056529.js,2021,--wasm-staging
poc_40056730.js,2021,
poc_40056860.js,2021,
poc_40056975.js,2021,
poc_40057609.js,2021,
poc_40057710.js,2021,
poc_40057873.js,2021,
poc_40058061.js,2021,
poc_40058134.js,2021,
poc_400584607.js,2025,--allow-natives-syntax --stress-gc-during-compilation --stress-incremental-marking --predictable-gc-schedule --predictable --maglev-pretenure-store-values
poc_40058995.js,2022,
poc_40059133.js,2022,
poc_40059162.js,2022,
poc_40059244.js,2022,
poc_40059312.js,2022,
poc_40059369.js,2022,
poc_40059400.js,2022,
poc_40059498.js,2022,
poc_40059549.js,2022,--no-lazy-feedback-allocation
poc_40059979.js,2022,
poc_40060077.js,2022,
poc_40060419.js,2022,--harmony-rab-gsab
poc_40060736.js,2022,
poc_40060819.js,2022,
poc_40060841.js,2022,--random-seed=-1983051303 --fuzzing --fuzzing --disable-abortjs --disable-in-process-stack-traces --assert-types --stress-flush-code --no-enable-ssse3 --maglev --no-enable-lzcnt --no-lazy-feedback-allocation --fuzzing
poc_40060946.js,2022,
poc_40061099.js,2022,--no-sandbox --disable-gpu
poc_40061150.js,2022,--allow-natives-syntax --maglev
poc_40061184.js,2022,
poc_40061447.js,2022,
poc_40061451.js,2022,
poc_40061456a.js,2022,--allow-natives-syntax --harmony-rab-gsab
poc_40061456b.js,2022,--allow-natives-syntax --harmony-rab-gsab
poc_40061500.js,2022,
poc_40061549.js,2022,
poc_40061589.js,2022,--predictable --allow-natives-syntax --interrupt-budget=1024 --maglev --fuzzing
poc_40061653.js,2022,
poc_40061748.js,2022,
poc_40061773.js,2022,--allow-natives-syntax --harmony_temporal
poc_40061784.js,2022,
poc_40061849.js,2022,--allow-natives-syntax --maglev
poc_40061863.js,2022,--harmony-rab-gsab
poc_40061894.js,2022,
poc_40061900.js,2022,--harmony-rab-gsab
poc_40061930.js,2022,
poc_40061946.js,2022,
poc_40061952.js,2022,
