poc_filename,v8_version_tested,issue_report_date,flags_used,crashed,log_file,,,,,
exploit_40067530.js,11.7.68,7/17/2023,#NAME?,TRUE,reproduce_logs/exploit_40067530.js-11.7.68.log,,,,,
exploit_40095575.js,7.0.112,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.0.112.log,,,,,
exploit_40095575.js,7.1.3,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.1.3.log,,,,,
exploit_40095575.js,7.1.218,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.1.218.log,,,,,
exploit_40095575.js,7.2.211,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.2.211.log,,,,,
exploit_40095575.js,7.3.258,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.3.258.log,,,,,
exploit_40095575.js,7.4.46,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.4.46.log,,,,,
exploit_40095575.js,7.4.256,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.4.256.log,,,,,
exploit_40095575.js,7.5.149,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.5.149.log,,,,,
exploit_40095575.js,7.6.75,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.6.75.log,,,,,
exploit_40095575.js,7.6.296.1,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.6.296.1.log,,,,,
exploit_40095575.js,7.7.166,7/2/2019,#NAME?,FALSE,reproduce_logs/exploit_40095575.js-7.7.166.log,,,,,
expl_330575498.js,11.4.45,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.4.45.log,,,,,
expl_330575498.js,11.5.10,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.5.10.log,,,,,
expl_330575498.js,11.6.41,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.6.41.log,,,,,
expl_330575498.js,11.7.68,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.7.68.log,,,,,
expl_330575498.js,11.7.359.1,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.7.359.1.log,,,,,
expl_330575498.js,11.8.149,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.8.149.log,,,,,
expl_330575498.js,11.9.168,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-11.9.168.log,,,,,
expl_330575498.js,12.1.22,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-12.1.22.log,,,,,
expl_330575498.js,12.1.271,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-12.1.271.log,,,,,
expl_330575498.js,12.2.156,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-12.2.156.log,,,,,
expl_330575498.js,12.3.91,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-12.3.91.log,,,,,
expl_330575498.js,12.4.126,3/21/2024,#NAME?,FALSE,reproduce_logs/expl_330575498.js-12.4.126.log,,,,,
expl_344963941.js,11.7.68,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-11.7.68.log,,,,,
expl_344963941.js,11.7.359.1,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-11.7.359.1.log,,,,,
expl_344963941.js,11.8.149,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-11.8.149.log,,,,,
expl_344963941.js,11.9.168,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-11.9.168.log,,,,,
expl_344963941.js,12.1.22,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.1.22.log,,,,,
expl_344963941.js,12.1.271,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.1.271.log,,,,,
expl_344963941.js,12.2.156,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.2.156.log,,,,,
expl_344963941.js,12.3.91,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.3.91.log,,,,,
expl_344963941.js,12.4.126,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.4.126.log,,,,,
expl_344963941.js,12.5.129,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.5.129.log,,,,,sandbox debug needed
expl_344963941.js,12.6.144,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.6.144.log,,,,,
expl_344963941.js,12.7.173,6/5/2024,#NAME?,FALSE,reproduce_logs/expl_344963941.js-12.7.173.log,,,,,
exp_323694592.js,11.3.43,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.3.43.log,,,,,
exp_323694592.js,11.4.45,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.4.45.log,,,,,
exp_323694592.js,11.5.10,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.5.10.log,,,,,
exp_323694592.js,11.6.41,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.6.41.log,,,,,
exp_323694592.js,11.7.68,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.7.68.log,,,,,
exp_323694592.js,11.7.359.1,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.7.359.1.log,,,,,
exp_323694592.js,11.8.149,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.8.149.log,,,,,
exp_323694592.js,11.9.168,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-11.9.168.log,,,,,
exp_323694592.js,12.1.22,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-12.1.22.log,,,,,
exp_323694592.js,12.1.271,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-12.1.271.log,,,,,
exp_323694592.js,12.2.156,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-12.2.156.log,,,,,
exp_323694592.js,12.3.91,2/5/2024,#NAME?,FALSE,reproduce_logs/exp_323694592.js-12.3.91.log,,,,,
exp_40055688.js,8.4.261,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.4.261.log,,,,,
exp_40055688.js,8.5.74,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.5.74.log,,,,,
exp_40055688.js,8.6.28,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.6.28.log,,,,,
exp_40055688.js,8.6.310,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.6.310.log,,,,,
exp_40055688.js,8.7.37,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.7.37.log,,,,,
exp_40055688.js,8.7.240,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.7.240.log,,,,,
exp_40055688.js,8.8.214,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.8.214.log,,,,,
exp_40055688.js,8.9.200,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-8.9.200.log,,,,,
exp_40055688.js,9.0.102,4/27/2021,#NAME?,TRUE,reproduce_logs/exp_40055688.js-9.0.102.log,,,,,
exp_40055688.js,9.1.1,4/27/2021,#NAME?,FALSE,reproduce_logs/exp_40055688.js-9.1.1.log,,,,,
exp_40055688.js,9.1.230,4/27/2021,#NAME?,TRUE,reproduce_logs/exp_40055688.js-9.1.230.log,,,,,
exp_40067050.js,10.6.68,7/7/2023,#NAME?,FALSE,reproduce_logs/exp_40067050.js-10.6.68.log,,,,,
exp_40067050.js,10.7.81,7/7/2023,#NAME?,FALSE,reproduce_logs/exp_40067050.js-10.7.81.log,,,,,
exp_40067050.js,10.8.92,7/7/2023,#NAME?,FALSE,reproduce_logs/exp_40067050.js-10.8.92.log,,,,,
exp_40067050.js,10.9.129,7/7/2023,#NAME?,FALSE,reproduce_logs/exp_40067050.js-10.9.129.log,,,,,
exp_40067050.js,11.0.140,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.0.140.log,,,,,
exp_40067050.js,11.1.92,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.1.92.log,,,,,
exp_40067050.js,11.2.31,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.2.31.log,,,,,
exp_40067050.js,11.3.43,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.3.43.log,,,,,
exp_40067050.js,11.4.45,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.4.45.log,,,,,
exp_40067050.js,11.5.10,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.5.10.log,,,,,
exp_40067050.js,11.6.41,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.6.41.log,,,,,
exp_40067050.js,11.7.68,7/7/2023,#NAME?,TRUE,reproduce_logs/exp_40067050.js-11.7.68.log,,,,,
exp_40067712.js,10.6.68,7/19/2023,#NAME?,FALSE,reproduce_logs/exp_40067712.js-10.6.68.log,,,,,
exp_40067712.js,10.7.81,7/19/2023,#NAME?,FALSE,reproduce_logs/exp_40067712.js-10.7.81.log,,,,,
exp_40067712.js,10.8.92,7/19/2023,#NAME?,FALSE,reproduce_logs/exp_40067712.js-10.8.92.log,,,,,
