filename,exit_code,execution_time_ms,peak_memory_mb,crash_signal,error,uniq_map_create,uniq_map_trans,uniq_ic_states,uniq_elem_kind,proto_invalidated,gc_minor,gc_major,opt_attempts,opt_success,opt_marked,deopt_all,deopt_unique_reasons,deopt_ratio,log_kb,map_create_count,bucket_string_count,elem_kind_holey,instance_size_max,back_pointer_is_null,non_extensible_flag,bucket_misc_count,bucket_collection_count,bucket_array_count,bucket_weak_count,bucket_handler_count,bucket_dictionary_count,bucket_code_count,elem_kind_shared,elem_kind_slow,bucket_context_count,elem_kind_typed,elem_kind_misc,elem_kind_double,elem_kind_args,unique_map_types,max_descriptor_array_size,uses_transition_array,stable_map_flag,has_cycle_in_back_ptrs,is_code_type,is_feedback_vector,is_cons_or_thin_string,is_external_string,is_symbol_type,is_instruction_stream,total_ic_count,load_ic_count,store_ic_count,megamorphic_ics,polymorphic_ics,monomorphic_ics,prototype_failure_ics,ic_state_transitions,ic_slow_stub_count,polymorphic_in_optimized_func_count,ic_triggered_deopts,issue_report_date,target
exploit_365376497.js,-99,3220,0.0,SIG9,TIMEOUT,0,0,0,0,0,8,0,6,6,12,1,1,0.167,2012,917,24,874,192,743,49,789,14,53,6,8,8,2,1,4,10,23,7,2,1,293,45,False,True,True,True,True,True,True,True,True,79,65,14,0,0,6,0,6,0,0,0,2024-09-08,1
exploit_40065473.js,0,914,0.0,,,0,0,0,0,0,0,0,7,7,7,0,0,0.0,1181,919,24,880,192,738,49,795,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,398,359,39,0,0,80,0,80,2,0,0,2023-06-07,1
exploit_40067530.js,0,705,0.0,,,0,0,0,0,0,0,1,4,3,4,0,0,0.0,1174,913,24,872,192,738,49,787,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,408,378,30,2,0,31,1,33,2,0,0,2023-07-17,1
expl_330575498.js,-99,3224,0.0,SIG9,TIMEOUT,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4882,902,24,863,192,735,49,778,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,2,0,2,0,0,0,0,0,0,0,0,2024-03-21,1
exp_40055688.js,1,673,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1957,1690,24,1137,192,1000,49,1566,14,52,6,8,8,2,1,4,10,23,521,1,1,293,53,False,True,True,True,True,True,True,True,True,776,515,261,487,9,252,246,258,0,0,0,2021-04-27,1
exp_40067050.js,1,687,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1468,1007,24,967,192,753,49,882,14,52,6,8,8,2,1,4,10,23,7,1,1,293,198,False,True,True,True,True,True,True,True,True,946,751,195,1,1,234,193,235,1,0,0,2023-07-07,1
exp_40067712.js,1,503,0.0,,,0,0,0,0,0,14,0,4,2,3,1,1,0.5,1143,905,24,865,192,736,49,780,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,15,8,7,0,0,3,0,3,0,0,0,2023-07-19,1
ex_41483297.js,-99,3217,0.0,SIG9,TIMEOUT,0,0,0,0,0,51,0,4,4,3,1,1,0.25,1152,903,24,864,192,735,49,778,15,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,112,107,5,1,0,7,0,8,0,0,0,2023-12-12,1
google_v8_array_prototype_memory_corruption_poc_40094304.js,-99,3215,0.0,SIG9,TIMEOUT,0,0,0,0,0,4,0,0,0,0,0,0,0.0,1173,908,24,868,192,739,49,782,14,54,6,8,8,2,1,5,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,30,23,7,0,0,0,0,0,0,0,0,2019-03-15,1
leak_40094340.js,0,544,0.0,,,0,0,0,0,0,0,2,0,0,0,0,0,0.0,1137,905,24,865,192,736,49,780,14,53,6,8,8,2,1,5,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,41,31,10,0,0,2,0,2,0,0,0,2019-03-20,1
