filename,exit_code,execution_time_ms,peak_memory_mb,crash_signal,error,uniq_map_create,uniq_map_trans,uniq_ic_states,uniq_elem_kind,proto_invalidated,gc_minor,gc_major,opt_attempts,opt_success,opt_marked,deopt_all,deopt_unique_reasons,deopt_ratio,log_kb,map_create_count,bucket_string_count,elem_kind_holey,instance_size_max,back_pointer_is_null,non_extensible_flag,bucket_misc_count,bucket_collection_count,bucket_array_count,bucket_weak_count,bucket_handler_count,bucket_dictionary_count,bucket_code_count,elem_kind_shared,elem_kind_slow,bucket_context_count,elem_kind_typed,elem_kind_misc,elem_kind_double,elem_kind_args,unique_map_types,max_descriptor_array_size,uses_transition_array,stable_map_flag,has_cycle_in_back_ptrs,is_code_type,is_feedback_vector,is_cons_or_thin_string,is_external_string,is_symbol_type,is_instruction_stream,total_ic_count,load_ic_count,store_ic_count,megamorphic_ics,polymorphic_ics,monomorphic_ics,prototype_failure_ics,ic_state_transitions,ic_slow_stub_count,polymorphic_in_optimized_func_count,ic_triggered_deopts,issue_report_date,target
escape-analysis-rest-parameters.js,0,2413,0.0,,,0,0,0,0,0,0,0,1,1,0,1,1,1.0,1224,929,24,890,192,737,49,805,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,74,23,51,0,0,2,0,2,0,0,0,2023-12-31,0
escape-analysis-type-none-in-object-state.js,0,2347,0.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0.0,1227,932,24,893,192,738,49,808,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,77,23,54,0,0,1,0,1,0,0,0,2023-12-31,0
escape-analysis-typeguard.js,0,2176,0.0,,,0,0,0,0,0,0,0,1,1,0,1,0,1.0,1236,939,24,900,192,741,49,815,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,81,28,53,0,0,3,0,3,0,0,0,2023-12-31,0
escape-analysis.js,0,2641,0.0,,,0,0,0,0,0,0,1,18,14,4,7,3,0.5,1377,1037,24,1002,192,780,49,917,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,292,169,123,0,6,91,3,96,0,0,0,2023-12-31,0
escape.js,0,760,0.0,,,0,0,0,0,0,0,0,4,4,2,0,0,0.0,1318,929,24,890,192,737,49,805,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,1393,1143,250,0,0,30,1,30,0,0,0,2023-12-31,0
eval-enclosing-function-name.js,0,1909,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1235,930,24,891,192,737,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,119,55,64,0,0,1,0,1,0,0,0,2023-12-31,0
eval-introduced-closure.js,0,613,0.0,,,0,0,0,0,0,0,0,5,5,0,0,0,0.0,1240,930,24,891,192,737,49,806,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,207,134,73,0,0,4,0,4,0,0,0,2023-12-31,0
eval-origin.js,1,454,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1245,939,24,900,192,739,49,815,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,151,84,67,0,0,0,0,0,0,0,0,2023-12-31,0
eval-param-scoping.js,0,452,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1235,933,24,894,192,741,49,809,14,52,6,8,8,2,1,4,10,23,7,1,1,293,45,False,True,True,True,True,True,True,True,True,123,71,52,0,0,0,0,0,0,0,0,2023-12-31,0
eval-stack-trace.js,0,444,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1271,938,24,898,192,738,49,811,14,55,6,8,8,2,1,4,10,23,8,1,1,293,54,False,True,True,True,True,True,True,True,True,200,135,65,4,0,13,0,15,0,0,0,2023-12-31,0
